# ----------------------------------------
# Report CSV Export
# Account: geckodigital
# Property: geckodigital.co
# ----------------------------------------
# 
# All Users
# Start date: 20231226
# End date: 20240324
Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
United States,9430,9373,4766,0.42933069092874515,0.5054082714740191,32.802332979851535,81502,6422,0
United Kingdom,8415,8383,5679,0.5256386523509812,0.6748663101604279,54.24432560903149,78006,5756,0
Australia,7728,7650,5540,0.5843881856540084,0.7168737060041408,47.72036749482402,62717,4963,0
Singapore,6273,6255,3092,0.40291894709408393,0.49290610553164355,25.39183803602742,42370,4696,0
Germany,6013,6065,4392,0.5576434738445911,0.7304174289040413,51.47048062531182,62091,4192,0
Malaysia,4700,4665,3151,0.5117752152022089,0.6704255319148936,43.19063829787234,39519,3683,0
Philippines,4566,4509,2825,0.4532327931974972,0.6187034603591766,32.694918966272446,34270,3460,0
South Africa,3532,3526,1943,0.4345783940952807,0.5501132502831257,19.806625141562854,26726,3156,0
Italy,2734,2722,2067,0.5867158671586716,0.7560351133869788,58.2882223847842,27278,1763,0
Thailand,2299,2296,2859,0.7357179619145651,1.2435841670291432,26.262722923010003,26385,2464,0
Russia,2187,2168,1544,0.5258855585831063,0.7059899405578418,62.74394147233654,18275,1519,0
Switzerland,2122,2113,1586,0.5777777777777777,0.7474081055607917,52.226201696512724,24454,1460,0
South Korea,1892,1880,560,0.272108843537415,0.2959830866807611,15.253171247357294,10615,1233,0
China,1883,1835,1023,0.4780373831775701,0.5432819968135953,20.05310674455656,16856,1167,0
France,1810,1788,1232,0.5537078651685393,0.6806629834254143,49.55690607734807,16597,1165,0
India,1777,1770,1262,0.5829099307159353,0.7101857062464828,60.50140686550366,13289,1398,0
Indonesia,1772,1747,1221,0.5186915887850467,0.6890519187358917,51.62302483069978,15769,1323,0
Maldives,1496,1424,1034,0.4898152534343913,0.6911764705882353,39.19919786096256,19843,1147,0
United Arab Emirates,1391,1373,833,0.43385416666666665,0.5988497483824586,34.89288281811646,11219,1132,0
Austria,1334,1324,989,0.6045232273838631,0.7413793103448276,56.05172413793103,14659,838,0
Japan,1299,1284,991,0.5418261344997266,0.7628945342571208,32.19784449576597,15481,1091,0
Canada,1221,1202,839,0.5582168995342648,0.6871416871416871,49.43079443079443,11681,882,0
Netherlands,947,931,495,0.42562338779019776,0.5227032734952481,30.80464625131996,6531,679,0
Hong Kong,890,871,657,0.5615384615384615,0.7382022471910112,43.38314606741573,7942,738,0
Spain,870,864,662,0.5884444444444444,0.7609195402298851,47.16436781609195,9685,576,0
Vietnam,753,751,415,0.4668166479190101,0.5511288180610889,31.266932270916335,4371,705,0
New Zealand,692,684,497,0.5930787589498807,0.7182080924855492,58.75867052023121,5219,403,0
Poland,524,517,393,0.5848214285714286,0.75,39.11259541984733,5489,364,0
Czechia,461,461,368,0.5869218500797448,0.7982646420824295,81.9175704989154,4319,277,0
Sweden,456,452,347,0.5499207606973059,0.7609649122807017,47.5921052631579,5156,332,0
