# ----------------------------------------
# Report CSV Export
# Account: geckodigital
# Property: geckodigital.co
# ----------------------------------------
# 
# All Users
# Start date: 20240117
# End date: 20240306
Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
United States,6181,6168,3223,0.45076923076923076,0.521436660734509,32.52936418055331,56600,2601,0
United Kingdom,6107,6089,4093,0.531282450674974,0.6702145079417062,54.34747011626003,58414,2614,0
Australia,5464,5432,3931,0.5945251058681186,0.7194363103953147,49.42203513909224,45957,2131,0
Germany,4231,4207,3175,0.5774827209894507,0.7504136138028835,53.54195225714961,44243,1847,0
Singapore,4147,4105,1955,0.3900638467677574,0.4714251265975404,25.386544489992765,28298,1957,0
Malaysia,3297,3274,2305,0.5300068981375029,0.6991204124962087,44.469517743403095,28998,1731,0
Philippines,3247,3215,1937,0.44406235671710226,0.5965506621496767,29.735756082537726,24119,1528,0
South Africa,2020,2006,970,0.3780202650038971,0.4801980198019802,20.230198019801982,16075,1257,0
Italy,1995,1986,1529,0.6033938437253354,0.7664160401002507,62.05714285714286,20293,728,0
Russia,1563,1547,1101,0.5255369928400955,0.7044145873320538,64.98144593730007,13624,691,0
Switzerland,1516,1506,1127,0.579136690647482,0.7434036939313984,53.87598944591029,17825,648,0
Thailand,1407,1406,1765,0.7323651452282157,1.2544420753375978,29.071783937455578,17609,1005,0
China,1340,1303,696,0.46586345381526106,0.5194029850746269,15.624626865671642,12047,511,0
France,1328,1311,900,0.5514705882352942,0.677710843373494,50.7289156626506,12911,554,0
Indonesia,1247,1230,825,0.5114693118412895,0.6615878107457899,42.912590216519646,11289,567,0
South Korea,1214,1206,341,0.2597105864432597,0.2808896210873147,15.041186161449753,6796,485,0
India,1190,1184,806,0.5605006954102921,0.6773109243697479,56.61848739495798,9182,612,0
Maldives,1096,1049,746,0.48790058862001306,0.6806569343065694,39.37956204379562,14976,564,0
Austria,967,959,722,0.6170940170940171,0.7466390899689762,58.92037228541882,11021,366,0
United Arab Emirates,898,886,533,0.4301856335754641,0.5935412026726058,36.73496659242762,7365,439,0
Japan,873,862,679,0.5462590506838294,0.7777777777777778,28.38373424971363,10335,468,0
Canada,830,826,558,0.5568862275449101,0.672289156626506,52.202409638554215,7368,385,0
Spain,634,631,491,0.6017156862745098,0.7744479495268138,46.84384858044164,7474,259,0
Netherlands,632,624,317,0.4204244031830239,0.5015822784810127,31.884493670886076,4546,267,0
Hong Kong,587,574,424,0.5676037483266398,0.7223168654173765,40.83134582623509,5095,304,0
New Zealand,501,497,350,0.5882352941176471,0.6986027944111777,59.728542914171655,3841,163,0
Poland,392,387,294,0.5856573705179283,0.75,40.964285714285715,4087,193,0
Czechia,372,372,293,0.5848303393213573,0.7876344086021505,84.88978494623656,3656,146,0
Sweden,332,331,234,0.5342465753424658,0.7048192771084337,49.56024096385542,3150,139,0
Hungary,323,321,261,0.5272727272727272,0.8080495356037152,48.1702786377709,3882,147,0
Saudi Arabia,319,319,217,0.5241545893719807,0.6802507836990596,48.843260188087775,2956,123,0
Vietnam,291,290,189,0.5094339622641509,0.6494845360824743,45.171821305841924,2001,165,0
Brazil,286,284,242,0.6402116402116402,0.8461538461538461,52.33566433566433,2964,147,0
Finland,277,269,136,0.40117994100294985,0.49097472924187724,33.537906137184116,3779,124,0
Ireland,263,263,157,0.5547703180212014,0.596958174904943,24.64638783269962,1967,78,0
Taiwan,261,259,162,0.5110410094637224,0.6206896551724138,35.28735632183908,2057,159,0
Portugal,254,253,153,0.5221843003412969,0.6023622047244095,38.42125984251968,2171,118,0
